Name,SMILES,KOR Inhibitor,lb_prop
CHEMBL1065,CC[C@@H](CO)NC(=O)[C@@H]1C=C2c3cccc4c3c(cn4C)C[C@H]2N(C)C1,0,"[1.9351, 103.81550000000004, 0.47619047619047616, 1.0, 2.0, 1.0, 1.0, 2.0, 1.0, 0.0, 4.0, 2.0, 26.0, 5.0, 2.0, 4.0, 4.0, 0.0, 0.0, 16.0, 353.4660000000001, 15.697118355226937, 15.697118355226937, 9.43539072130879, 9.43539072130879, 7.649274681369276, 7.649274681369276, 5.970139541923738, 5.970139541923738, 4.47716378182753, 4.47716378182753, 353.21032710400004, -2.11, 17.311158415599223, 6.559988751741113, 2.6632627532956077, 153.8406334128062, 4.0, 2.0, 57.5]"
CHEMBL1068,NC(=O)N1c2ccccc2CC(=O)c2ccccc21,0,"[2.6422000000000008, 72.64090000000003, 0.06666666666666667, 1.0, 1.0, 1.0, 0.0, 2.0, 1.0, 0.0, 2.0, 1.0, 19.0, 4.0, 1.0, 3.0, 0.0, 0.0, 0.0, 15.0, 252.27299999999997, 10.166969380320866, 10.166969380320866, 5.979551137874412, 5.979551137874412, 4.41946228521939, 4.41946228521939, 3.2492738043137046, 3.2492738043137046, 2.418278455091216, 2.418278455091216, 252.089877624, -2.619999999999999, 11.4692641265699, 4.2423570760462965, 1.775485536222831, 110.00026108252523, 2.0, 1.0, 63.400000000000006]"
CHEMBL106876,COc1ccc2c3c1O[C@H]1C(=O)CC[C@@]4(NC(=O)/C=C/c5ccc([N+](=O)[O-])cc5)C(C2)N(C)CCC314,1,"[2.793700000000001, 131.0721, 0.4074074074074074, 2.0, 4.0, 1.0, 0.0, 2.0, 4.0, 2.0, 7.0, 1.0, 36.0, 9.0, 2.0, 6.0, 5.0, 1.0, 2.0, 23.0, 489.52800000000025, 20.152953531612088, 20.152953531612088, 12.152064219184386, 12.152064219184386, 10.15973561532365, 10.15973561532365, 8.661756900364216, 8.661756900364216, 7.126983761247853, 7.126983761247853, 489.189985584, -3.7199999999999998, 22.72559210889867, 7.892816368118874, 2.9205111450037617, 207.76250763062149, 7.0, 1.0, 111.01]"
CHEMBL1069,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1)[C@H](C(=O)O)C(C)C,0,"[4.161700000000002, 121.38650000000004, 0.375, 0.0, 0.0, 1.0, 1.0, 3.0, 1.0, 0.0, 5.0, 2.0, 32.0, 8.0, 1.0, 3.0, 10.0, 0.0, 0.0, 14.0, 435.52800000000013, 18.65449437506997, 18.65449437506997, 10.866742180143817, 10.866742180143817, 8.144645367193837, 8.144645367193837, 5.430202721413613, 5.430202721413613, 3.792627724393348, 3.792627724393348, 435.227039788, -3.5500000000000003, 23.12024193744085, 10.65708212114023, 5.3761745071749605, 187.2105314815426, 5.0, 2.0, 112.07000000000001]"
CHEMBL107,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,0,"[2.871600000000001, 109.23470000000006, 0.36363636363636365, 0.0, 1.0, 1.0, 0.0, 2.0, 1.0, 0.0, 6.0, 1.0, 29.0, 7.0, 0.0, 3.0, 5.0, 0.0, 0.0, 16.0, 399.4430000000002, 17.250454651104402, 17.250454651104402, 9.262274124396015, 9.262274124396015, 6.750545770836781, 6.750545770836781, 5.098020717230943, 5.098020717230943, 3.8620647041129392, 3.8620647041129392, 399.16818752, -3.22, 20.512615256870166, 8.426176651903862, 3.721770404485165, 169.10472006325654, 6.0, 1.0, 83.09]"
CHEMBL1070,COc1ccc2cc(CCC(C)=O)ccc2c1,0,"[3.370000000000002, 69.50200000000004, 0.26666666666666666, 0.0, 0.0, 0.0, 0.0, 2.0, 1.0, 0.0, 2.0, 0.0, 17.0, 2.0, 0.0, 2.0, 4.0, 0.0, 0.0, 10.0, 228.29099999999997, 10.194811758438577, 10.194811758438577, 5.749671105539444, 5.749671105539444, 4.249448536331696, 4.249448536331696, 2.8775573640200314, 2.8775573640200314, 1.876132645617337, 1.876132645617337, 228.115029752, -1.8299999999999996, 11.64944516537148, 5.000460648830569, 2.842966419126076, 101.21284555276587, 2.0, 0.0, 26.3]"
CHEMBL1071,O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1,0,"[4.025800000000003, 83.33180000000004, 0.1111111111111111, 0.0, 0.0, 0.0, 1.0, 3.0, 1.0, 0.0, 3.0, 1.0, 22.0, 4.0, 1.0, 3.0, 5.0, 0.0, 0.0, 15.0, 293.32200000000006, 11.898640026196999, 11.898640026196999, 7.061666815178198, 7.061666815178198, 4.911124308488451, 4.911124308488451, 3.307389361110979, 3.307389361110979, 2.2620802080024887, 2.2620802080024887, 293.10519334, -2.879999999999999, 14.073964359504131, 6.263008090810288, 3.061456206666087, 127.610150972078, 3.0, 1.0, 63.33]"
CHEMBL107157,COc1ccc2c3c1O[C@H]1C(=O)C=C[C@@]4(NC(=O)/C=C/c5ccc([N+](=O)[O-])cc5)C(C2)N(CC2CC2)CCC314,1,"[3.3499000000000025, 142.64509999999984, 0.4, 2.0, 5.0, 1.0, 0.0, 2.0, 4.0, 2.0, 7.0, 1.0, 39.0, 9.0, 2.0, 7.0, 7.0, 1.0, 2.0, 26.0, 527.5770000000002, 21.592111120367512, 21.592111120367512, 13.449400082429266, 13.449400082429266, 11.284493485058501, 11.284493485058501, 9.287997755681497, 9.287997755681497, 7.410350810867098, 7.410350810867098, 527.205635648, -3.98, 24.087595429183803, 8.510153764462887, 3.4179226971017194, 225.1618997880978, 7.0, 1.0, 111.01]"
CHEMBL107164,CN1CCC23c4c5ccc(O)c4O[C@@]2(C)C(=O)CC[C@@]3(NC(=O)/C=C/c2ccc([N+](=O)[O-])cc2)C1C5,1,"[2.8808000000000016, 130.8019, 0.4074074074074074, 2.0, 4.0, 1.0, 0.0, 2.0, 4.0, 2.0, 7.0, 2.0, 36.0, 9.0, 2.0, 6.0, 4.0, 1.0, 2.0, 23.0, 489.5280000000002, 20.114568567458562, 20.114568567458562, 12.15437019688536, 12.15437019688536, 10.504861424168514, 10.504861424168514, 9.041621559706076, 9.041621559706076, 7.434965194140564, 7.434965194140564, 489.189985584, -3.7199999999999998, 22.72559210889867, 7.394031190690395, 2.6876191072528073, 207.4431961533106, 7.0, 2.0, 122.01000000000002]"
CHEMBL1073,Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1,0,"[2.0781199999999993, 114.97440000000005, 0.42857142857142855, 0.0, 1.0, 2.0, 1.0, 2.0, 1.0, 0.0, 6.0, 3.0, 31.0, 10.0, 1.0, 3.0, 7.0, 0.0, 1.0, 16.0, 445.54500000000024, 17.426867995952446, 18.24336457688017, 10.324437260199971, 11.807600507794364, 7.606765398013322, 9.289167639422836, 5.113916264423449, 6.460808376486555, 3.3987880001588153, 4.314024862705542, 445.1783753440001, -3.01, 22.670220071134082, 10.34007512930902, 6.744800730100012, 181.66973203561423, 6.0, 3.0, 130.14999999999998]"
CHEMBL1076211,Cc1ccc(C(=O)C(C)CN2CCCCC2)cc1,0,"[3.2997200000000024, 74.96450000000004, 0.5625, 1.0, 1.0, 0.0, 0.0, 1.0, 2.0, 0.0, 2.0, 0.0, 18.0, 2.0, 1.0, 2.0, 4.0, 1.0, 1.0, 12.0, 245.36599999999993, 11.484853919031238, 11.484853919031238, 6.9984483425766655, 6.9984483425766655, 5.492592090550948, 5.492592090550948, 3.7644122129855644, 3.7644122129855644, 2.614529778275446, 2.614529778275446, 245.177964356, -1.15, 13.285625230484353, 6.144766820932717, 3.4224283555953376, 109.99634888018097, 2.0, 0.0, 20.310000000000002]"
CHEMBL1077,Nc1c(CC(=O)O)cccc1C(=O)c1ccc(Br)cc1,0,"[2.889400000000001, 79.76870000000002, 0.06666666666666667, 0.0, 0.0, 0.0, 0.0, 2.0, 1.0, 0.0, 3.0, 2.0, 20.0, 5.0, 0.0, 2.0, 4.0, 0.0, 0.0, 12.0, 334.169, 10.467583584140467, 12.053580123255172, 5.882003381402027, 6.67500165095938, 4.284904508661537, 5.200580037453227, 2.8891365562354476, 3.417802069273682, 1.8848654643631684, 2.1491982208822864, 333.000055344, -2.1399999999999992, 14.272932710635605, 5.878302341530973, 3.0546882493460967, 123.90803992368845, 3.0, 2.0, 80.39000000000001]"
CHEMBL108,NC(=O)N1c2ccccc2C=Cc2ccccc21,0,"[3.3872000000000018, 73.53440000000003, 0.0, 1.0, 1.0, 1.0, 0.0, 2.0, 1.0, 0.0, 1.0, 1.0, 18.0, 3.0, 1.0, 3.0, 0.0, 0.0, 0.0, 15.0, 236.274, 9.706314847049708, 9.706314847049708, 5.729003813978893, 5.729003813978893, 4.124612648148249, 4.124612648148249, 3.018151561343786, 3.018151561343786, 2.2109625427574167, 2.2109625427574167, 236.094963004, -2.549999999999999, 10.59432558024975, 4.035866968245452, 1.5691552778201157, 105.1491359502972, 1.0, 1.0, 46.330000000000005]"
CHEMBL1080787,CC(C)CN(C(=O)c1cccc(Cl)c1Cl)[C@H]1CCNC1,0,"[3.4535000000000027, 83.61120000000005, 0.5333333333333333, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 2.0, 1.0, 20.0, 5.0, 1.0, 2.0, 4.0, 1.0, 1.0, 11.0, 315.2440000000001, 11.826569302676596, 13.338427194713507, 6.960691198568819, 7.716620144587274, 5.59936232499996, 6.384526924749793, 3.4797829979958497, 4.298685568120484, 2.5203223616092947, 2.901683397936468, 314.09526862, -0.77, 15.615678391038891, 6.7910271579953605, 3.4576867765050916, 129.78780140315573, 2.0, 1.0, 32.34]"
CHEMBL1082,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,0,"[0.023700000000000443, 90.69370000000004, 0.4375, 2.0, 2.0, 2.0, 0.0, 1.0, 1.0, 0.0, 6.0, 4.0, 25.0, 9.0, 2.0, 3.0, 4.0, 2.0, 2.0, 12.0, 365.4110000000001, 13.670786371061961, 14.487282951989688, 7.709501693348966, 8.58915450460386, 6.653608280395852, 8.424493419768412, 4.507365693956287, 6.078896288803769, 3.2214847443168755, 4.846881333926201, 365.104541708, -2.2600000000000002, 17.55941929290163, 5.921357991514545, 2.827120047618735, 147.9148923371173, 6.0, 4.0, 132.96]"
CHEMBL1082723,C[C@H]1Cc2c([nH]c3cc(Cl)c(F)cc23)[C@@]2(N1)C(=O)Nc1ccc(Cl)cc12,0,"[4.343700000000003, 100.43010000000001, 0.21052631578947367, 2.0, 2.0, 1.0, 1.0, 3.0, 1.0, 0.0, 2.0, 3.0, 26.0, 7.0, 3.0, 5.0, 0.0, 0.0, 0.0, 21.0, 390.24500000000006, 13.713350105815847, 15.225207997852758, 8.291632349679185, 9.047561295697639, 6.933993210488036, 7.777629117700627, 5.269644825951237, 5.7943883904035385, 4.241403001731189, 4.5771694433610515, 389.049795648, -2.079999999999999, 16.119797210203533, 5.222662409401596, 1.962280422476947, 158.22568486718455, 2.0, 3.0, 56.92]"
CHEMBL108406,C[C@@]12Oc3c(O)ccc4c3C13CCN(CC1CC1)C(C4)[C@]3(NC(=O)/C=C/c1ccc([N+](=O)[O-])cc1)CCC2=O,1,"[3.6610000000000023, 142.4688999999999, 0.4666666666666667, 2.0, 5.0, 1.0, 0.0, 2.0, 4.0, 2.0, 7.0, 2.0, 39.0, 9.0, 2.0, 7.0, 6.0, 1.0, 3.0, 26.0, 529.5930000000002, 21.813239180207827, 21.813239180207827, 13.748129238793828, 13.748129238793828, 11.962565610798668, 11.962565610798668, 10.074472567065355, 10.074472567065355, 8.161529664057106, 8.161529664057106, 529.2212857119999, -3.72, 24.329367901568414, 8.143674816368316, 3.2226720524108243, 225.53219134297115, 7.0, 2.0, 122.00999999999999]"
